Название вакансии,URL,Название компании,Описание 
"Руководитель службы IT (Директор по IT, CIO, CTO)",https://spb.hh.ru/vacancy/29583308?query=python, Центр образовательных технологий Николая Ягодкина Advancе,"1. Построение эффективной ИТ-инфраструктуры под задачи бизнеса. 2. Выбор, внедрение и доработка наиболее подходящей по задачи бизнеса CRM-системы... Нам нужен играющий тренер, отличный управленец, имеющий опыт разработки приложений (PHP, Python, NodeJS), опыт работы с реляционными и NoSQL базами..."
Эксперт по machine learning,https://spb.hh.ru/vacancy/29794338?query=python, Trendomatic GmbH,"На проектной основе, предложить несколько методологий оптимизации портфеля при помощи алгоритмов machine learning, сделать расчет по каждой методологии.  Минимум три года работы в области machine learning (artificial intelligence / machine learning (ML) / deep learning). Опыт решения похожих задач."
"Software Principal Engineer (Tech lead), Triage team",https://spb.hh.ru/vacancy/29342234?query=python, Dell EMC,"Drive triage and resolution of complex engineering issues. Be involved and lead triage & resolution of complex storage product engineering issues... Excellent track record in software design and development with significant experience with a language like C++, Go, Java, Python. "
"Python Developer (Cyprus, Limassol)",https://spb.hh.ru/vacancy/29722032?query=python, Exness," At least 2 years of a using Python: good knowledge of python 2.7 and python 3+, compliance with..."
Senior Data Analyst / Ведущий аналитик данных,https://spb.hh.ru/vacancy/25005413?query=python, Adhack,В плотном сотрудничестве с командой маркетинга и продукта формулировать гипотезы и искать ответы на вопросы в данных рекламных кампаний.  Опыт участия в разработке рекомендательных систем и систем автоматизации. Высокий уровень владения SQL. Знание Python. Английский язык не ниже уровня...
DevOps Engineer,https://spb.hh.ru/vacancy/29708734?query=python, BeKitzur Inc,"CI/CD implementation and support. Improve the system’s monitoring, high availability, and security for cloud-based systems.  Ability to support existing automation scripts and write new ones using Bash and Python. Experience with Jenkins and Docker. "
Разработчик-исследователь Deep Learning,https://spb.hh.ru/vacancy/29444063?query=python," Insilico Medicine, Inc","Разработка и реализация современных архитектур нейронных сетей. Обучение и тестирование нейронных сетей на биомедицинских данных. Запуск множественных экспериментов на вычислительных... Уверенное программирование на Python (от 1 года). Алгоритмическая (алгоритмы и структуры данных) и математическая (линал, матан, теорвер, матстат) подготовки. "
Linux DevOps (SecuriSync team),https://spb.hh.ru/vacancy/29792223?query=python, Intermedia,"Проектирование инфраструктуры разрабатываемых продуктов. Мониторинг, анализ и оптимизация параметров работоспособности DEV/PROD окружений. Автоматизация развертывания приложений и сервисов.  Опыт системного администрирования Linux. Опыт написания скриптов (Python, Bash и т.п.) для задач автоматизации. Знание сетевых протоколов (TCP, HTTP..."
Младший системный администратор,https://spb.hh.ru/vacancy/29739127?query=python, Группа компаний eLama,"Подготовка рабочих мест. (установка оборудования на рабочее место, установка ОС и ПО, настройка, подготовка учетных записей, пропусков, инструкций).  Microsoft Windows. Linux (начальные знания). Mac OS (начальные знания). Microsoft Office. 1C. Принципы работы ПК и локальной сети. "
Программист,https://spb.hh.ru/vacancy/29794714?query=python,ООО АПСТЕК Лабс,"Стандартизация и поддержка окружения разработки ПО для сложного оборудования. Рефакторинг кода. Уверенное владение Linux. Умение программировать на C++, Java, /Python. Опыт работы с OpenCL, CUDA. Желательно знание HTML JavaScript. "
Data Scientist / computer vision (Tech Lead),https://spb.hh.ru/vacancy/29775661?query=python, M-soft,"Анализируют окружающий мир (подсчёт количества клиентов, пешеходов, машин и прочих объектов; анализ дорожной ситуации: идентификация дорожных знаков, дороги, светофоров и... Знание основных структур данных и алгоритмов, ООП, шаблонов проектирования. Опыт программирования на Python от 3 лет. Уверенное владение английским языком."
Senior Go Developer (ECS),https://spb.hh.ru/vacancy/29609193?query=python, Dell EMC,"Drive design and implementation of product features and improvements, working with the team to coordinate development efforts. Implement production functionality... Understanding of distributed systems and large scale software architectures. Scripting languages (Unix shell, Python). Strong fundamentals in data structures and..."
System administrator Linux/ Devops Engineer (Системный администратор Linux/ Devops инженер),https://spb.hh.ru/vacancy/29793840?query=python, Panoramik Inc.,Администрирование и поддержка Linux инфраструктуры компании в команде 24/7. Обеспечение работоспособности ключевых систем и сервисов. Участие в проектах по... Опыт администрирования OS Linux. Понимание принципов работы OS Linux и подсистем. Опыт написания скриптов на Bash/ Python. Самостоятельность и инициативность.
"C++ Unreal Engine 4 developer (Oculus team, USA)",https://spb.hh.ru/vacancy/29476022?query=python, Akvelon,"Akvelon, a business and technology consulting firm, works with clients to achieve success in their strategic goals and day-to... Experience building real world system, including design, coding (C++) and evaluation (C++/Python). Experience of C# programming and GUI design. "
Старший разработчик на python,https://spb.hh.ru/vacancy/28712535?query=python, Positive Technologies,Разработкой новой функциональности программных продуктов. Поддержкой уже разработанной функциональности. Оценкой сроков по задачам. Юнит-тестированием продуктов в рамках своей зоны... Знание базовых структур данных и алгоритмов. Опыт разработки на Python не менее 2 лет. Знание основ реляционных баз данных. 
Marketing Analyst / Data Scientist,https://spb.hh.ru/vacancy/29327316?query=python, Wrike,"Daily analytic support for lead generation, outbound, and website email marketing teams (A/B tests, conversion paths etc.).  Outstanding Python experience (Numpy, Pandas, Matplotlib/Seaborn, Nltk). Good knowledge of SQL & databases (we use Postgress). Proved experience in statistical..."
Программист C/С++,https://spb.hh.ru/vacancy/28220188?query=python, НеоБИТ,"Участие в проектировании, разработке и выпуске системного ПО (в качестве С/С++программиста), под Linux или Windows или macOS.  ...работы вредоносного ПО, механизмов защиты ОС. Умение пользоваться паяльником, программаторами, логическими анализаторами. Навыки работы со скриптовыми языками (bash/python/ruby)."
Senior Frontend Developer (Продукт: Телеметрическая платформа),https://spb.hh.ru/vacancy/29794529?query=python, ARRIVAL LTD,"Проектирование и разработка клиентской части Web-приложений. Разработка библиотек визуальных компонентов. Опыт написания тестов для JavaScript-кода. Опыт визуализации данных (при помощи d3.js или аналогичных библиотек). Опыт работы с Node.js, Python..."
Customer Support Engineer,https://spb.hh.ru/vacancy/29343160?query=python,ООО Азул Системс,"Provide first and second-level support for Azul’s Zing JVM and Zulu JVM products. First level support responsibilities include... High level language experience, including Java, C/C++, Javascript, Python, etc. Web design and development experience, including HTML, CSS, jQuery..."
Реверс-инженер,https://spb.hh.ru/vacancy/29666196?query=python,ООО ЖУЙЭРСЫ,"Поиск уязвимостей в ПО различных устройств. Реверс-инженеринг. Работа с фазером Sulley. Работа с дизассеблерами и отладчиками. Написание небольших програм... Отличное знание OC Linux. 3. Знание Assembler (MIPS, ARM), С, Python (желательно умение писать скрипты на bash), понимание работы и..."
Программист С++ в отдел облачной инфраструктуры Поиска Яндекса,https://spb.hh.ru/vacancy/28782016?query=python, Яндекс,"Обрабатывать огромные объемы данных, обеспечивать их синхронизацию с другими компонентами, проектировать отказоустойчивые системы, используя всю мощь технологий Яндекса. Опыт разработки на С++ и/или Python. Умение писать рабочий, поддерживаемый и тестируемый код. Знание классических алгоритмов и структур данных. "
Метеоролог-разработчик,https://spb.hh.ru/vacancy/29794954?query=python, Яндекс," Опыт работы и настройки моделей прогноза погоды, например WRF. Опыт разработки на Python. Метеорологическое образование (или образование в смежных областях). "
Java-Developer,https://spb.hh.ru/vacancy/29647644?query=python,ООО Ю.Би.Си," Уверенное знание английского языка будет вашим приоритетом, возможно обучение языку и поднятие вашего уровня знаний при помощи корпоративных занятий. "
Data Scientist,https://spb.hh.ru/vacancy/29763050?query=python, Wrike,"Analyze data and deliver business insights regarding what should the company do differently. Build, optimize and support scoring models for... 2+ year experience of working with statistical modeling as an analyst. Outstanding Python experience (Numpy, Pandas, Matplotlib/Seaborn, Sklearn..."
Ведущий SEO-специалист / Веб-Аналитик,https://spb.hh.ru/vacancy/29394201?query=python,ООО Кельник Студиос,"Полный цикл работ по увеличению позиций, целевой посещаемости, конверсии посетителей. Разработка стратегий продвижения, генерация предложений по развитию проектов и интерфейсов.  Javascript для работы с веб-аналитикой, GTM. Опыт анализа данных на Python или R. Опыт настройки e-commerce, сквозной аналитики. "
Backend-разработчик Python,https://spb.hh.ru/vacancy/29671257?query=python,ООО ВВХВ,"Работа над заказными веб-проектами, самых разных областей бизнеса. Обязательно: свободно мыслить и писать на Python. Желательно иметь: опыт работы с. Html/javascript/ajax, с использованием какого-либо javascript..."
Sales Manager,https://spb.hh.ru/vacancy/29780446?query=python, Soshace,"Negotiate projects with potential clients. Determine clients needs and discuss clients requirements. Keep up-to-date with competitors and industry... Official full-time employment (5/2, under the Russian Labor Code), ability to work in GMT-1 time zone or..."
Системный инженер (SRE),https://spb.hh.ru/vacancy/29762321?query=python, Студия «Кефир»,Автоматизация сборок/деплоя. Автоматизация развертывания и обновления серверной инфраструктуры. Мониторинг и поддержка серверной инфраструктуры. Тесное сотрудничество с командами разработки. Опыт работы с Ansible. Опыт написания скриптов на Bash/Python. Умение готовить образы на Docker и их деплоить. 
DevOps-инженер,https://spb.hh.ru/vacancy/29435927?query=python,ООО ПОСТ РАДАР,Обслуживание серверов Linux. Поддержка среды разработки (Git). Обслуживание систем мониторинга (Zabbix). Обслуживание системы виртуализации (Vmware). Обслуживание системы управления конфигурациями (Ansible).  Опыт обеспечения отказоустойчивости систем на базе ОС Linux. Навык программирования на скриптовых языках Python/Bash. Опыт в работе с телефонией...
Backend-разработчик (Erlang OTP),https://spb.hh.ru/vacancy/29404685?query=python,ЗАО ИСТ,"Кастомизация. В настоящее время открыта вакансия в Команду разработки средств мониторинга и управления. Основными задачами являются участие в проектировании компонентов... От 2 лет опыта коммерческой разработки на любом из следующих языков: C++, C#, Java, Python. Опыт разработки высоконагруженных серверных приложений. "
Инженер Linux по сопровождению дистрибутивов ПО,https://spb.hh.ru/vacancy/29524018?query=python," Протей, НТЦ","1. Поддержка и развитие системы автоматической сборки для регулярно проходящих сертификаций различных продуктов под GNU/Linux. 2. Взаимодействие с разработчиками.  1. Опыт написание скриптов на Python и Shell. 2. Опыт работаете с системами контроля версий (Git, SVN). 3. "
Lead Data Scientist,https://spb.hh.ru/vacancy/29771217?query=python," EPAM Systems, Inc.","Lead the strategic planning, development and implementation of medium-to-large data science solutions or a component of a larger... ...platforms including but not limited to Linux, Redis, Java, MySQL, Python, Pandas, AWS. Experience in Data Architecture, Data modeling, and..."
Data Scientist,https://spb.hh.ru/vacancy/24076567?query=python, Netwrix Corporation,"Извлекать информацию из массивов структурированных и неструктурированных данных (например, описывающих действия пользователей). Искать скрытые закономерности и выделять информативные признаки, их... Уверенно владеете Python и/или R в задачах data science. Умеете представлять данные в графическом виде и работать с ними. "
Ведущий программист С++,https://spb.hh.ru/vacancy/28746632?query=python, ЛАНИТ-ТЕРКОМ,"Разработка новых алгоритмов, доработка имеющихся алгоритмов. Разработка архитектуры перспективных продуктов Компании. Разработка системного ПО для продуктов Компании. Разработка тестового и... Опыт работы с операционной системой Linux и Windows. Приветствуется Python. Приветствуется наличие опыта в Machine Learning для CNN (SSD, Yolo..."
Программист SQL,https://spb.hh.ru/vacancy/25580264?query=python, «АНТ» ГРУППА КОМПАНИЙ,"Сопровождение системы управления предприятием (ERP Бухта). Разработка ПО в рамках автоматизации предприятия. (50% рабочего времени - поддержание ERP-системы, 50% - разработка... ...данных (Отличное знание языка запросов). Приветствуется опыт администрирования 1C, автоматизации производства. Приветствуется знание Python/ node.js/ C#/ PHP/ Visual Basic."
Программист нейронных сетей,https://spb.hh.ru/vacancy/29701470?query=python, Бразерс Групп,"Участие в разработке системы интеллектуального анализа поведения объектов по внешним признакам. Анализ, разработка и реализация современных архитектур нейронных сетей.  Знание основ классических алгоритмов машинного обучения. Понимание принципов работы нейронных сетей, их обучения и настройки. Опыт работы с Keras/Tensorflow..."
QA Engineer,https://spb.hh.ru/vacancy/28519463?query=python,АО Аркадия,Анализ и планирование собственных задач совместно с другими членами команды. Ручное и автоматизированное тестирование. Полноценный Scrum. Постоянное обучение и участие... Приветствуется опыт: Опыт программирования на скриптовых языках (Python‚ Ruby или Perl). Знания и опыт установки/конфигурирования ОС семейства Linux. 
Системный администратор Linux,https://spb.hh.ru/vacancy/29421110?query=python,ОАО СПбФ Конструкторское бюро Луч,"Поддержка текущей инфраструктуры, улучшение и ее развитие под нужды компании. Администрирование систем виртуализации (сейчас используется Xen, возможен переход на KVM).  Опыт работы с PostgreSQL. Знание скриптовых языков (Python, Bash). Знание сетевых технологий ТСР/IP. Аккуратность, коммуникабельность, ответственность за конечный результат. "
C/С++ Developer (UI Technology),https://spb.hh.ru/vacancy/29595833?query=python," Wargaming, Saint Petersburg (Lesta Studio)","Development and optimization of inner source cross-platform game UI library, written in C++. Participation in “open-source-like” developers... Proven participation in open source projects. Additional points for experience with cmake, python, continuous integration systems, static code analysis, testing..."
Manual QA Engineer / Тестировщик ПО,https://spb.hh.ru/vacancy/29436211?query=python," Протей, НТЦ","Нагрузочное, функциональное, системное тестирование клиент-серверного ПО (преимущественно backend). Разработка тестовой документации и методик тестирования. Оценка тестового покрытия.  Английский язык - читаете документацию и мануалы без словаря. Базовые знания Python или Java. Базовые знания SQL. Знание протоколов стека ОКС..."
Инженер-программист,https://spb.hh.ru/vacancy/29710271?query=python, ФГАОУ ВО СПбПУ,"Разработка систем машинного обучения для нефтегазовой промышленности. Математическое моделирование механических процессов. Участие в написании научных работ на английском языке.  Высшее образование в технической области. Уверенное знание и опыт работы с языком Python, а также знание одного из фреймворков (TensorFlow..."
Automation QA Engineer (VoIP),https://spb.hh.ru/vacancy/29344265?query=python, Intermedia,"Автоматизация тестирования BackEnd с нуля. Мониторинг, анализ и оптимизация параметров окружения для обеспечения высокого качества видеоконференцсвязи. Анализ причин возникновения проблем... Понимание работы TCP/IP, QoS, умение анализировать проблемы на сетевом уровне. Опыт написания скриптов на Python или Bash для автоматизации. "
Ведущий программист-разработчик С/С++,https://spb.hh.ru/vacancy/29775516?query=python,ЗАО АКУТА,Участие прежде всего в проекте по созданию системы сбора событий и защиты информации в распределенной системе. Разработка / написание кода С... Опыт проектирования системных и клиент-серверных приложений. Опыт разработки под Linux и Windows не менее 2-3 лет. 
BI Data Engineer,https://spb.hh.ru/vacancy/29769770?query=python, Wrike,Efficiently write production-grade SQL\Python code. Extend ETL processes and prepare datamarts for analysts. Maintain the BI warehouse (monitor... Full SQL proficiency. Good knowledge of Python. Knowledge of enterprise relational databases like PostgreSQL or Oracle (administration or database-side...
"Senior Scale Automation Engineer, XtremIO",https://spb.hh.ru/vacancy/28104756?query=python, Dell EMC,"What we suggest is an opportunity to participate in a unique product, which improves its IOPS rate dramatically as the... 3+ years in automation testing development. Required Competencies. Proven experience with Python. Proven QA / Testing experience. Knowledge in different..."
Фулл-стек разработчик,https://spb.hh.ru/vacancy/26380757?query=python,ООО ВЕБИМ.РУ,Дорабатывать и сопровождать сервис чата. Работать в команде над интересным проектом. Составлять планы работ и отчеты о выполнении работ.  Python Django. JavaScript Angular. Знание алгоритмов и структур данных. Опыт работы в крупном проекте от 3х лет. 
Data Scientist,https://spb.hh.ru/vacancy/26184521?query=python, КОМПЛИТ,"Анализ предметной области, формализация требований заказчиков. Подбор методов анализа данных и алгоритмов машинного обучения. Анализ источников и структур данных, участие... Владение инструментарием разработки: python, R. Владение инструментарием для работы с БД: PL/SQL, опыт работы с NoSQL желателен. "
Инженер-программист,https://spb.hh.ru/vacancy/29436124?query=python,ООО Хилби,"Создание автономных вычислительных модулей на языке С, реализующих аналитические модели обработки данных жизнедеятельности человека. Разработка ПО в рамках существующей архитектуры... Опыт реализация управляющих алгоритмов на основе стейт-машин/конечных автоматов. Опыт использования С/С++, Python и др для создания кроссплатформенных..."
Младший разработчик Python/Django,https://spb.hh.ru/vacancy/29287737?query=python,ООО АпТрейдер (UpTrader),"Участие в разработке внутренних и внешних, сложных и независимых проектов компании (как бэкэнд, так и фронтэнд). Знание языка Python и фреймворка Django. Знание ОС GNU / Linux на уровне пользователя. Знание английского языка на уровне, позволяющем уверенно..."
Разработчик (NLP),https://spb.hh.ru/vacancy/29781732?query=python,ПАО МТС,"Предобработка текстов. Классификация, кластеризация текстов. Извлечение именованных сущностей и ключевых слов. Морфологический, синтаксический анализ. Выявление интентов. Тематическое моделирование. Проверка правописания.  Язык программирования python. Опыт работы с алгоритмами и библиотеками машинного обучения в NLP (с некоторыми из представленных): nltk, Stanford NLP..."
Ведущий инженер по тестированию,https://spb.hh.ru/vacancy/29434449?query=python,ООО DSP Labs,"Организовать тестирование продуктов компании с упором на автоматизацию. Развивать и адаптировать процесс тестирования с ростом команды и объема работ. Опыт разработки скриптов для автоматизации тестирования. Базовое знание Python, Linux, Android. Базовый опыт работы с C++. Базовый опыт работы с..."
Специалист по автоматизированному тестированию,https://spb.hh.ru/vacancy/29781843?query=python, Competentum,"Разработка решений для автоматизированного тестирования WebServices, API, Web-интерфейсов (Java, Selenium, JUnit, TestNG). Разработка решений для автоматизированного тестирования мобильных платформ... Знание и понимание ООП. Знание языков и фреймворков: Java, JS, Python (возможно что-то одно), Selenium (WebDriver), TestNG, JDBC. "
QA automation engineer,https://spb.hh.ru/vacancy/29404678?query=python,ЗАО ИСТ,"Автоматизированное и ручное тестирование web-приложений (front- и backend). Дизайн и разработка новых и поддержка существующих автотестов. Ведение тестовой документации.  Опыт разработки автотестов на одном из скриптовых (python, bash) или jvm- языков. Понимание процессов разработки и тестирования ПО. "
Senior Android developer/Team lead,https://spb.hh.ru/vacancy/27146041?query=python, GS Group. GS Labs,"Поддержка и развитие «Мультиэкран» (стриминговый видеосервис). Поддержка и развитие мобильной разработки для проекта «Умный Дом». Разработка OTT приложений для Set... Опыт разработки или/или знание языка Kotlin. Опубликованные проекты в Play Market. Опыт разработки на Python, Shell, Bash."
Big Data Developer,https://spb.hh.ru/vacancy/26019771?query=python, Netwrix Corporation,"Участие в разработке и поддержке работы облачной платформы, обрабатывающей большие объемы данных от пользователей Netwrix Auditor для выполнения оценки действий... Уверенно владеете Python, плюсом будет знание C++. Имеете опыт в организации взаимодействия сервисов по сети как с использованием облачных технологий..."
QA Automation Engineer / Инженер автоматизированного тестирования,https://spb.hh.ru/vacancy/29378844?query=python, InfoWings,"Пространство для построения процессов. QA инженера, в идеале — желающего транслировать бизнес-постановки в технические задачи и выстраивать культуру и процессы QA. И ещё."
Системный инженер / DevOps,https://spb.hh.ru/vacancy/28375928?query=python, ALM Works,"Развитие рабочего окружения компании: разработка, внедрение новых продуктов, совершенствование существующих систем. Это не только CI/CD для Dev/QA, но... Опыт написания скриптов (необходимо знание bash + какого-либо из скриптовых языков python/php/go). Уверенные знания по администрированию Linux..."
Senior Fullstack Web Developer в команду Hyperskill (Stepik),https://spb.hh.ru/vacancy/29771711?query=python, JetBrains,"Мы делаем Hyperskill (hyperskill.org) – платформу для обучения программированию Java, Kotlin и Python через решение учебных проектов. Hyperskill – совместный проект Stepik... Стек технологий: Vue.js. Опыт backend/fullstack разработки. Опыт работы с Python, Django, JavaScript. Высокую скорость разработки. Ответственности за качество кода. "
Frontend Developer в команду Hyperskill (Stepik),https://spb.hh.ru/vacancy/29771749?query=python, JetBrains,"Работать быстро в команде с backend-разработчиком, fullstack-разработчиком, тестировщиком и дизайнером. Видеть результат своей работы – у нас недельные спринты... Самостоятельности и предложений решений в сложных ситуациях. Знание Python и Django. Опыт работы с bootstrap-vue. Опыт прохождения онлайн курсов. "
UI Programmer,https://spb.hh.ru/vacancy/28503633?query=python," Wargaming, Saint Petersburg (Lesta Studio)","Разработка функциональности интерфейсов игры World of Warships. Разработка функциональности фреймворков. Поддержка, развитие, рефакторинг существующих решений. Профессиональное знание любого скриптового языка (ActionScript, Python, Java, JavaScript, C# и другие). Отличное владение ООП. Высокий уровень профессиональной эрудиции. "
Системный администратор UNIX Junior,https://spb.hh.ru/vacancy/29778406?query=python,ООО МультиКарта,"написание скриптов сопровождения и автоматизации ОС и приложений (bash, python). - сопровождение конфигураций (Ansible). - мониторинг хостов и приложений (zabbix, grafana). -  Навыки работы со скриптовыми языками (bash/python); стремление и готовность к обучению. Аналитический подход к решению задач. Умение работать в..."
Marketing Analyst / Аналитик в отдел маркетинга,https://spb.hh.ru/vacancy/29021499?query=python, Adhack,"Анализ эффективности рекламных кампаний. Анализ поведения пользователей на сайтах и в мобильных приложениях: сегментация, построение воронок, выработка гипотез и проверка... ...язык на уровне, достаточном для чтения технической документации. Опыт работы с e-commerce. Высшее математическое или техническое образование. Знание Python."
Исследователь в области кибербезопасности,https://spb.hh.ru/vacancy/23844091?query=python, НеоБИТ,"Поиск уязвимостей и анализ безопасности различных Embedded-устройств, информационных систем и приложений. BlackBox-тестирование. Документирование проведенных исследований. Навыки программирования (на выбор: С / С++ / Python). Использование средств статического и динамического анализа. Технический английский язык для чтения документации. "
DevOps specialist,https://spb.hh.ru/vacancy/29794775?query=python, ВКонтакте,"Администрировать сервисы CI/CD (GitLab, TeamCity). Сопровождать и разрабатывать систему автоматической сборки, деплоя и тестирования. Создавать сборки и сценарии деплоя.  Умение писать и поддерживать имеющийся код, написанный на Bash и Python. Понимание процесса разработки и опыт выстраивания CI/CD. "
Web Service Desk Analyst,https://spb.hh.ru/vacancy/29484514?query=python, Veeam Software,"Прием и обработка заявок пользователей. Решение возникающих у пользователей проблем самостоятельно или с передачей специалисту другого уровня. Ведение документации и... Знание средств автоматизации тестирования: TestNG, JUnit, NUnit etc. Знание языков программировании: C++, Python, C#. Понимание работы реляционных БД. "
Программист С++ / C++ Developer,https://spb.hh.ru/vacancy/28121801?query=python, ЦРТ | Группа компаний,"Разработка высоконагруженных программных решений на С++. Поддержка кода проектов на С++. Другой возможный проект представляет собой сложную распределенную систему, которая... Плюсом будет: Опыт embedded-разработки и работы с buildroot. Знание cmake. Знание языков python, perl, C#. Опыт работы с телефонией..."
Системный инженер / Инженер DevOps,https://spb.hh.ru/vacancy/29604058?query=python, АДМ СИСТЕМЫ,"Развитие инфраструктуры компании с применением практик CI/CD. Сопровождение запусков (удаленно). Взаимодействие с разработчиками через систему управления проектами (Atlassian stack).  Опыт написания скриптов на bash, а также на каком-либо скриптовом языке - Perl/Python/Go. Опыт работы с СУБД MySQL..."
Senior C++ Developer,https://spb.hh.ru/vacancy/29756608?query=python, Space307,Вам предстоит погрузиться в процесс разработки движковой и клиентской части кросплатформенной библиотеки для работы с графикой. Заниматься развитием и оптимизацией... Опыт работы с современными движками для работы с графикой. Опыт работы с CMake и скриптовыми языками Bash/Python.
Программист Delphi,https://spb.hh.ru/vacancy/29375933?query=python,ООО Бизнес Технологии,"Разработка десктопного клиентского приложения ERP системы Глобал. Реализация новой функциональности, исправление ошибок. Написание модульных тестов. Знание одного из объектно-ориентированных языков. Уверенное знание ООП. Минимальная алгоритмическая подготовка. Вы можете ответить на вопросы: ""что такое указатель..."
Специалист по нагрузочному тестированию,https://spb.hh.ru/vacancy/29783153?query=python, Competentum,"Разработка решений для нагрузочного тестирования WebServices, API, Web-application – через интерфейсы API, CLI, GUI и другие). Разработка решений для нагрузочного... Знание и понимание ООП. Знание языков и фреймворков: Java, JS, Python (возможно что-то одно), Selenium (WebDriver), TestNG, JDBC. "
Data Engineer,https://spb.hh.ru/vacancy/29760851?query=python, ПАО «Газпром нефть»,"Участие в проектах в области анализа данных, машинного обучения, предиктивной аналитики и других современных направлений использования данных. Проектирование, развертывание, масштабирование... ...Spark, HBase, Hive, Kafka, PostgreSQL, Informatica (PC, BDM), знакомство с Python, R, C++, Java. Наличие сертификатов по направлению подготовки данных..."
Senior Unreal Engine Developer,https://spb.hh.ru/vacancy/29618549?query=python,ООО ТРА РОБОТИКС," Опыт программирования под Linux. Будет плюсом: Знание Python. Опыт интеграции Unreal Engine с внешними приложениями (физическими движками, веб-сервисами и..."
Product Operations Analyst,https://spb.hh.ru/vacancy/19660525?query=python, Wrike,"For each specific situation and new feature, we need to understand what exactly should be tracked and how.  Willingness to take on responsibility and own your projects. Good knowledge of SQL & databases (we use PostgreSQL). At least some..."
Data Analyst (Relocation to Canada),https://spb.hh.ru/vacancy/26361835?query=python, Behavox,"Apply mathematical (statistical, etc.) models and techniques in order to identify patterns and anomalies in big unstructured data (including text... Demonstrated experience working with Java, Groovy and/or Python. Experience in analysing large unstructured datasets including text, voice and trade. "
Senior Developer C/C++,https://spb.hh.ru/vacancy/29313065?query=python, Новые Облачные Технологии,"Технологическое управление командой системных разработчиков. Технологическое сопровождение разработчиков портирующих приложения для ОС, в частности, весь стек продуктов МойОфис для рабочего... C++. Cross-compilation, toolchains, shell scripting. QtWayland,Wayland. Python, GTK, OpenSSL. Chromium browser engine — будет особым бонусом. EGL, OpenGL. "
Machine Learning Engineer,https://spb.hh.ru/vacancy/29672043?query=python, FutureComes, Знание машинного обучения. Навыки программирования Python и умение работы с базами данных. Умение использовать в приложении готовые библиотеки для различных...
Программист C/C++,https://spb.hh.ru/vacancy/29368603?query=python, Bercut,"1000+ инсталляций в разных странах, включая Россию, страны СНГ, Европы, Азии и Африки. Клиенты — крупнейшие мировые операторы связи и... Знание БД Oracle (SQL, PL\SQL). Опыт интеграции C++ приложений с БД. Опыт использования кроссплатформенных библиотек ace, boost. Знание Python. "
